driver,lap,time
"Verstappen",1,01.58.2
"Verstappen",2,02.22.4
"Verstappen",3,02.38.0
"Verstappen",4,01.44.3
"Verstappen",5,01.44.6
"Verstappen",6,01.36.0
"Verstappen",7,01.35.9
"Verstappen",8,01.36.0
"Verstappen",9,01.36.0
"Verstappen",10,01.36.2
"Verstappen",11,01.36.2
"Verstappen",12,01.36.6
"Verstappen",13,01.36.3
"Verstappen",14,01.36.9
"Verstappen",15,01.36.9
"Verstappen",16,01.37.0
"Verstappen",17,01.39.2
"Verstappen",18,01.55.5
"Verstappen",19,01.34.4
"Verstappen",20,01.34.9
"Verstappen",21,01.34.8
"Verstappen",22,01.35.2
"Verstappen",23,01.35.1
"Verstappen",24,01.35.2
"Verstappen",25,01.35.0
"Verstappen",26,01.35.0
"Verstappen",27,01.35.1
"Verstappen",28,01.35.1
"Verstappen",29,01.35.3
"Verstappen",30,01.35.5
"Verstappen",31,01.35.1
"Verstappen",32,01.35.4
"Verstappen",33,01.35.3
"Verstappen",34,01.35.6
"Verstappen",35,01.35.6
"Verstappen",36,01.35.7
"Verstappen",37,01.35.6
"Verstappen",38,01.35.9
"Verstappen",39,01.37.8
"Verstappen",40,01.53.4
"Verstappen",41,01.33.2
"Verstappen",42,01.33.5
"Verstappen",43,01.33.2
"Verstappen",44,01.33.6
"Verstappen",45,01.34.1
"Verstappen",46,01.33.9
"Verstappen",47,01.34.1
"Verstappen",48,01.33.8
"Verstappen",49,01.33.6
"Verstappen",50,01.33.9
"Verstappen",51,01.34.0
"Verstappen",52,01.34.7
"Verstappen",53,01.36.4
"Verstappen",54,01.35.1
"Verstappen",55,01.34.6
"Verstappen",56,01.34.7
"Hamilton",1,01.59.5
"Hamilton",2,02.22.7
"Hamilton",3,02.36.7
"Hamilton",4,01.44.9
"Hamilton",5,01.45.1
"Hamilton",6,01.36.2
"Hamilton",7,01.36.1
"Hamilton",8,01.36.1
"Hamilton",9,01.36.1
"Hamilton",10,01.36.1
"Hamilton",11,01.36.1
"Hamilton",12,01.36.5
"Hamilton",13,01.38.9
"Hamilton",14,01.55.0
"Hamilton",15,01.34.1
"Hamilton",16,01.35.1
"Hamilton",17,01.35.1
"Hamilton",18,01.35.3
"Hamilton",19,01.35.3
"Hamilton",20,01.35.3
"Hamilton",21,01.35.8
"Hamilton",22,01.35.5
"Hamilton",23,01.35.2
"Hamilton",24,01.35.1
"Hamilton",25,01.35.4
"Hamilton",26,01.35.6
"Hamilton",27,01.35.9
"Hamilton",28,01.37.8
"Hamilton",29,01.55.2
"Hamilton",30,01.34.4
"Hamilton",31,01.35.3
"Hamilton",32,01.34.7
"Hamilton",33,01.35.0
"Hamilton",34,01.34.7
"Hamilton",35,01.34.7
"Hamilton",36,01.34.8
"Hamilton",37,01.34.7
"Hamilton",38,01.34.7
"Hamilton",39,01.34.8
"Hamilton",40,01.34.9
"Hamilton",41,01.34.3
"Hamilton",42,01.34.2
"Hamilton",43,01.34.2
"Hamilton",44,01.34.0
"Hamilton",45,01.34.6
"Hamilton",46,01.34.5
"Hamilton",47,01.34.6
"Hamilton",48,01.34.2
"Hamilton",49,01.34.1
"Hamilton",50,01.34.4
"Hamilton",51,01.34.6
"Hamilton",52,01.34.9
"Hamilton",53,01.36.2
"Hamilton",54,01.34.8
"Hamilton",55,01.34.7
"Hamilton",56,01.34.9
"Leclerc",1,02.02.7
"Leclerc",2,02.21.2
"Leclerc",3,02.35.2
"Leclerc",4,01.46.1
"Leclerc",5,01.45.5
"Leclerc",6,01.38.3
"Leclerc",7,01.37.1
"Leclerc",8,01.37.9
"Leclerc",9,01.38.7
"Leclerc",10,01.37.5
"Leclerc",11,01.37.7
"Leclerc",12,01.40.5
"Leclerc",13,01.56.8
"Leclerc",14,01.35.6
"Leclerc",15,01.36.0
"Leclerc",16,01.36.4
"Leclerc",17,01.36.9
"Leclerc",18,01.36.4
"Leclerc",19,01.36.3
"Leclerc",20,01.36.6
"Leclerc",21,01.36.7
"Leclerc",22,01.36.5
"Leclerc",23,01.36.2
"Leclerc",24,01.36.3
"Leclerc",25,01.36.4
"Leclerc",26,01.36.4
"Leclerc",27,01.36.6
"Leclerc",28,01.36.6
"Leclerc",29,01.37.1
"Leclerc",30,01.36.9
"Leclerc",31,01.37.1
"Leclerc",32,01.40.0
"Leclerc",33,01.55.3
"Leclerc",34,01.35.1
"Leclerc",35,01.35.1
"Leclerc",36,01.35.1
"Leclerc",37,01.35.0
"Leclerc",38,01.35.3
"Leclerc",39,01.35.0
"Leclerc",40,01.35.1
"Leclerc",41,01.35.0
"Leclerc",42,01.35.3
"Leclerc",43,01.35.2
"Leclerc",44,01.35.3
"Leclerc",45,01.35.4
"Leclerc",46,01.35.3
"Leclerc",47,01.35.4
"Leclerc",48,01.35.2
"Leclerc",49,01.35.4
"Leclerc",50,01.35.1
"Leclerc",51,01.35.5
"Leclerc",52,01.37.1
"Leclerc",53,01.35.7
"Leclerc",54,01.35.9
"Leclerc",55,01.36.2
"Leclerc",56,01.37.0
"Bottas",1,02.03.8
"Bottas",2,02.21.5
"Bottas",3,02.34.2
"Bottas",4,01.48.0
"Bottas",5,01.43.7
"Bottas",6,01.37.1
"Bottas",7,01.36.4
"Bottas",8,01.36.0
"Bottas",9,01.37.1
"Bottas",10,01.36.4
"Bottas",11,01.36.4
"Bottas",12,01.36.5
"Bottas",13,01.36.4
"Bottas",14,01.36.7
"Bottas",15,01.36.6
"Bottas",16,01.39.5
"Bottas",17,01.54.7
"Bottas",18,01.35.0
"Bottas",19,01.34.5
"Bottas",20,01.34.8
"Bottas",21,01.35.1
"Bottas",22,01.35.1
"Bottas",23,01.35.1
"Bottas",24,01.35.2
"Bottas",25,01.35.0
"Bottas",26,01.35.3
"Bottas",27,01.35.5
"Bottas",28,01.35.4
"Bottas",29,01.35.9
"Bottas",30,01.38.0
"Bottas",31,02.03.8
"Bottas",32,01.35.1
"Bottas",33,01.34.5
"Bottas",34,01.34.5
"Bottas",35,01.34.4
"Bottas",36,01.34.5
"Bottas",37,01.34.4
"Bottas",38,01.34.4
"Bottas",39,01.35.2
"Bottas",40,01.34.7
"Bottas",41,01.34.8
"Bottas",42,01.34.8
"Bottas",43,01.34.5
"Bottas",44,01.34.3
"Bottas",45,01.35.2
"Bottas",46,01.34.4
"Bottas",47,01.34.3
"Bottas",48,01.34.2
"Bottas",49,01.34.2
"Bottas",50,01.34.3
"Bottas",51,01.34.5
"Bottas",52,01.35.1
"Bottas",53,01.34.6
"Bottas",54,01.37.8
"Bottas",55,01.55.9
"Bottas",56,01.32.1
"Perez",1,02.28.0
"Perez",2,02.20.7
"Perez",3,02.15.2
"Perez",4,01.58.7
"Perez",5,01.40.0
"Perez",6,01.37.5
"Perez",7,01.37.9
"Perez",8,01.37.1
"Perez",9,01.37.4
"Perez",10,01.36.8
"Perez",11,01.37.8
"Perez",12,01.38.0
"Perez",13,01.36.9
"Perez",14,01.36.9
"Perez",15,01.36.9
"Perez",16,01.36.5
"Perez",17,01.37.1
"Perez",18,01.38.1
"Perez",19,01.39.7
"Perez",20,01.56.5
"Perez",21,01.35.7
"Perez",22,01.35.6
"Perez",23,01.35.8
"Perez",24,01.36.0
"Perez",25,01.35.5
"Perez",26,01.36.6
"Perez",27,01.35.2
"Perez",28,01.35.5
"Perez",29,01.35.9
"Perez",30,01.35.7
"Perez",31,01.36.3
"Perez",32,01.35.5
"Perez",33,01.36.5
"Perez",34,01.35.8
"Perez",35,01.36.1
"Perez",36,01.36.0
"Perez",37,01.36.0
"Perez",38,01.38.8
"Perez",39,01.56.7
"Perez",40,01.34.5
"Perez",41,01.34.3
"Perez",42,01.34.3
"Perez",43,01.34.4
"Perez",44,01.34.0
"Perez",45,01.34.5
"Perez",46,01.34.7
"Perez",47,01.34.6
"Perez",48,01.34.2
"Perez",49,01.34.7
"Perez",50,01.34.2
"Perez",51,01.34.3
"Perez",52,01.35.3
"Perez",53,01.34.5
"Perez",54,01.34.9
"Perez",55,01.34.7
"Perez",56,01.34.8
